,Data,Hora,Home,S,Away,Res,,
158,,16:20,Grêmio Barueri,-,Clube Náutico,0:0 (0:0),,
159,,21:00,Paraná Clube,-,ABC FC,1:0 (0:0),,
160,16.08.2011,19:30,Portuguesa (SP),-,Vila Nova FC GO,0:1 (0:0),,
161,,19:30,Guarani FC,-,Paraná Clube,1:1 (0:0),,
162,,19:30,Duque de Caxias,-,ASA,2:1 (2:1),,
163,,19:30,Criciúma EC,-,EC Vitória BA,2:1 (2:0),,
164,,19:30,Goiás EC,-,Bragantino,2:1 (1:1),,
165,,21:50,Clube Náutico,-,São Caetano,2:1 (1:1),,
166,,21:50,Americana Futebol,-,Sport Club Recife,2:1 (0:1),,
167,,21:50,Salgueiro AC,-,Icasa,3:5 (1:2),,
168,,21:50,Boa EC,-,Ponte Preta,1:1 (0:0),,
169,,21:50,ABC FC,-,Grêmio Barueri,2:2 (1:2),,
170,19.08.2011,20:30,ABC FC,-,Ponte Preta,1:1 (1:0),,
171,,20:30,Clube Náutico,-,Boa EC,3:1 (1:0),,
172,,20:30,Icasa,-,Goiás EC,4:2 (1:0),,
173,,20:30,Duque de Caxias,-,Portuguesa (SP),0:0 (0:0),,
174,20.08.2011,16:00,ASA,-,Bragantino,2:1 (2:0),,
175,,16:20,São Caetano,-,EC Vitória BA,2:2 (1:1),,
176,,16:20,Guarani FC,-,Salgueiro AC,1:2 (0:0),,
177,,16:20,Grêmio Barueri,-,Criciúma EC,0:0 (0:0),,
178,,16:20,Paraná Clube,-,Sport Club Recife,1:2 (0:1),,
179,,16:20,Vila Nova FC GO,-,Americana Futebol,1:3 (1:1),,
180,23.08.2011,20:30,Sport Club Recife,-,Vila Nova FC GO,2:0 (2:0),,
181,,20:30,Goiás EC,-,Guarani FC,3:0 (1:0),,
182,26.08.2011,20:30,Americana Futebol,-,ABC FC,2:1 (0:0),,
183,,20:30,Criciúma EC,-,São Caetano,1:1 (1:0),,
184,,20:30,Boa EC,-,Duque de Caxias,2:0 (0:0),,
185,27.08.2011,16:00,Salgueiro AC,-,Grêmio Barueri,1:4 (0:1),,
186,,16:20,Portuguesa (SP),-,Icasa,3:3 (1:3),,
187,,16:20,Ponte Preta,-,Clube Náutico,3:3 (1:2),,
188,,16:20,Bragantino,-,Paraná Clube,2:1 (0:0),,
189,,16:20,EC Vitória BA,-,ASA,1:0 (1:0),,
190,30.08.2011,20:30,São Caetano,-,Salgueiro AC,3:1 (1:1),,
191,,20:30,Guarani FC,-,Criciúma EC,4:2 (2:2),,
192,,20:30,Duque de Caxias,-,Americana Futebol,0:2 (0:2),,
193,,20:30,Clube Náutico,-,Portuguesa (SP),0:0 (0:0),,
194,,20:30,Grêmio Barueri,-,Goiás EC,2:0 (1:0),,
195,,20:30,ASA,-,Ponte Preta,1:2 (1:0),,
196,,20:30,Paraná Clube,-,Boa EC,2:0 (1:0),,
197,,20:30,Vila Nova FC GO,-,EC Vitória BA,0:3 (0:1),,
198,,20:30,Icasa,-,Sport Club Recife,2:2 (2:1),,
199,,20:30,ABC FC,-,Bragantino,0:5 (0:2),,
200,02.09.2011,20:30,Ponte Preta,-,Vila Nova FC GO,1:1 (1:0),,
201,,20:30,Bragantino,-,Grêmio Barueri,2:1 (1:0),,
202,,20:30,Criciúma EC,-,Duque de Caxias,2:0 (0:0),,
203,,20:30,Goiás EC,-,Clube Náutico,1:2 (0:0),,
204,03.09.2011,16:20,Portuguesa (SP),-,Paraná Clube,2:1 (1:0),,
205,,16:20,Sport Club Recife,-,Guarani FC,3:1 (1:1),,
206,,16:20,Americana Futebol,-,ASA,1:1 (1:1),,
207,,16:20,Salgueiro AC,-,ABC FC,0:1 (0:0),,
208,,16:20,Boa EC,-,São Caetano,4:1 (2:0),,
209,,16:20,EC Vitória BA,-,Icasa,1:1 (0:1),,
210,06.09.2011,20:30,Duque de Caxias,-,Salgueiro AC,1:2 (0:0),,
211,,20:30,ABC FC,-,Portuguesa (SP),1:1 (1:1),,
212,09.09.2011,20:30,Icasa,-,Ponte Preta,1:1 (0:0),,
213,,20:30,Guarani FC,-,EC Vitória BA,0:0 (0:0),,
214,,20:30,ASA,-,Goiás EC,1:1 (0:0),,
215,10.09.2011,16:20,Clube Náutico,-,Criciúma EC,2:1 (1:0),,
216,,16:20,Grêmio Barueri,-,Sport Club Recife,2:3 (2:2),,
217,,16:20,Paraná Clube,-,Americana Futebol,0:1 (0:0),,
218,,16:20,Vila Nova FC GO,-,Boa EC,1:2 (1:2),,
219,,16:20,São Caetano,-,Bragantino,0:2 (0:0),,
220,13.09.2011,20:30,Portuguesa (SP),-,Grêmio Barueri,4:2 (3:1),,
221,,20:30,Ponte Preta,-,São Caetano,1:0 (0:0),,
222,,20:30,Bragantino,-,Clube Náutico,2:1 (2:0),,
223,,20:30,Sport Club Recife,-,ASA,3:0 (2:0),,
224,,20:30,Americana Futebol,-,Icasa,1:0 (1:0),,
225,,20:30,Goiás EC,-,ABC FC,1:2 (0:2),,
226,,20:30,Criciúma EC,-,Vila Nova FC GO,3:1 (0:0),,
227,,20:30,Boa EC,-,Guarani FC,0:1 (0:0),,
228,,20:30,EC Vitória BA,-,Duque de Caxias,5:1 (3:0),,
229,,20:30,Salgueiro AC,-,Paraná Clube,2:1 (1:1),,
230,16.09.2011,20:30,Duque de Caxias,-,Sport Club Recife,1:1 (1:1),,
231,,20:30,Grêmio Barueri,-,Ponte Preta,2:1 (2:1),,
232,,20:30,ASA,-,Criciúma EC,3:1 (0:1),,
233,,20:30,Vila Nova FC GO,-,Bragantino,1:2 (0:2),,
234,17.09.2011,16:20,São Caetano,-,Americana Futebol,1:1 (0:0),,
235,,16:20,Guarani FC,-,Portuguesa (SP),0:2 (0:1),,
236,,16:20,Clube Náutico,-,Salgueiro AC,1:0 (0:0),,
237,,16:20,Paraná Clube,-,Goiás EC,1:1 (0:1),,
238,,16:20,Icasa,-,Boa EC,0:1 (0:0),,
239,,16:20,ABC FC,-,EC Vitória BA,0:0 (0:0),,
240,20.09.2011,20:30,ABC FC,-,Vila Nova FC GO,1:2 (0:1),,
241,,20:30,Americana Futebol,-,Guarani FC,1:2 (1:0),,
242,23.09.2011,20:30,Paraná Clube,-,Clube Náutico,2:0 (1:0),,
243,,20:30,Goiás EC,-,Salgueiro AC,0:1 (0:1),,
244,,20:30,Boa EC,-,Criciúma EC,2:0 (2:0),,
245,24.09.2011,16:20,Sport Club Recife,-,EC Vitória BA,4:0 (2:0),,
246,,16:20,Ponte Preta,-,Duque de Caxias,2:1 (1:0),,
247,,16:20,Bragantino,-,Portuguesa (SP),1:1 (0:1),,
248,,16:20,ASA,-,Grêmio Barueri,1:1 (0:1),,
249,,16:20,São Caetano,-,Icasa,2:2 (1:0),,
250,27.09.2011,20:30,Guarani FC,-,Bragantino,3:1 (1:1),,
251,,20:30,Duque de Caxias,-,São Caetano,1:3 (1:0),,
252,,20:30,Clube Náutico,-,ABC FC,2:0 (1:0),,
253,,20:30,Grêmio Barueri,-,Boa EC,2:2 (1:0),,
254,,20:30,Salgueiro AC,-,Americana Futebol,0:1 (0:1),,
255,,20:30,Vila Nova FC GO,-,ASA,1:1 (0:0),,
256,,20:30,Icasa,-,Paraná Clube,3:1 (1:1),,
257,,20:30,EC Vitória BA,-,Ponte Preta,2:0 (1:0),,
258,,20:30,Criciúma EC,-,Sport Club Recife,1:0 (1:0),,
259,,20:30,Portuguesa (SP),-,Goiás EC,3:0 (1:0),,
260,30.09.2011,20:30,Ponte Preta,-,Salgueiro AC,1:0 (0:0),,
261,,20:30,Clube Náutico,-,Duque de Caxias,1:1 (0:0),,
262,,20:30,Paraná Clube,-,EC Vitória BA,1:1 (1:1),,
263,,20:30,Vila Nova FC GO,-,Guarani FC,0:0 (0:0),,
264,01.10.2011,16:20,São Caetano,-,Portuguesa (SP),3:3 (1:2),,
265,,16:20,Bragantino,-,Criciúma EC,2:2 (0:1),,
266,,16:20,Grêmio Barueri,-,Americana Futebol,0:1 (0:1),,
267,,16:20,ASA,-,Icasa,2:1 (0:0),,
268,,16:20,ABC FC,-,Sport Club Recife,3:0 (2:0),,
269,,16:20,Boa EC,-,Goiás EC,1:0 (0:0),,
270,04.10.2011,20:30,Duque de Caxias,-,Paraná Clube,0:0 (0:0),,
271,,20:30,Salgueiro AC,-,Boa EC,0:1 (0:1),,
272,,20:30,Americana Futebol,-,Bragantino,1:1 (1:0),,
273,,20:30,Icasa,-,Vila Nova FC GO,1:0 (1:0),,
274,,20:30,EC Vitória BA,-,Grêmio Barueri,1:2 (0:2),,
275,,20:30,Guarani FC,-,Clube Náutico,3:1 (0:1),,
276,,20:30,Criciúma EC,-,ABC FC,3:1 (1:0),,
277,,20:30,Goiás EC,-,Ponte Preta,2:1 (1:0),,
278,,20:30,Sport Club Recife,-,São Caetano,1:3 (0:2),,
279,,20:30,Portuguesa (SP),-,ASA,2:0 (0:0),,
280,07.10.2011,20:30,São Caetano,-,Vila Nova FC GO,3:0 (0:0),,
281,,20:30,Salgueiro AC,-,Portuguesa (SP),1:2 (0:0),,
282,,20:30,Paraná Clube,-,ASA,3:1 (1:0),,
283,,20:30,Goiás EC,-,Criciúma EC,1:0 (1:0),,
284,08.10.2011,16:20,Bragantino,-,EC Vitória BA,2:2 (1:1),,
285,,16:20,Clube Náutico,-,Icasa,2:2 (2:1),,
286,,16:20,Grêmio Barueri,-,Duque de Caxias,2:1 (1:0),,
287,,16:20,Boa EC,-,Americana Futebol,0:0 (0:0),,
288,,16:20,ABC FC,-,Guarani FC,2:1 (1:1),,
289,,16:20,Ponte Preta,-,Sport Club Recife,1:1 (1:0),,
290,11.10.2011,20:30,Portuguesa (SP),-,Boa EC,1:1 (1:1),,
291,,20:30,Americana Futebol,-,Clube Náutico,0:0 (0:0),,
292,14.10.2011,20:30,Sport Club Recife,-,Bragantino,1:1 (0:0),,
293,,20:30,Duque de Caxias,-,ABC FC,1:0 (1:0),,
294,,20:30,Criciúma EC,-,Salgueiro AC,3:0 (2:0),,
295,15.10.2011,16:20,Guarani FC,-,Ponte Preta,0:3 (0:2),,
296,,16:20,ASA,-,São Caetano,0:0 (0:0),,
297,,16:20,Vila Nova FC GO,-,Paraná Clube,0:1 (0:1),,
298,,16:20,Icasa,-,Grêmio Barueri,0:1 (0:0),,
299,,16:20,EC Vitória BA,-,Goiás EC,3:2 (1:2),,
300,18.10.2011,20:30,Clube Náutico,-,Vila Nova FC GO,4:2 (3:1),,
301,,20:30,Guarani FC,-,ASA,0:1 (0:1),,
302,,20:30,Salgueiro AC,-,Sport Club Recife,0:1 (0:0),,
303,,20:30,Icasa,-,Duque de Caxias,4:2 (1:1),,
304,,20:30,ABC FC,-,Boa EC,2:0 (1:0),,
305,,20:30,Bragantino,-,Ponte Preta,1:1 (1:0),,
306,,20:30,Goiás EC,-,Americana Futebol,3:1 (1:0),,
307,,20:30,Paraná Clube,-,Criciúma EC,0:0 (0:0),,
308,,20:30,Grêmio Barueri,-,São Caetano,0:3 (0:2),,
